,"Su una scala da 1 a 7, quanto ","Su una scala da 1 a 7, quanto ",Da una scala da 1 a 7 quanto p,"Da una scala da 1 a 7, quanto ","Su una scala da 1 a 7, quanto ","Da una scala da 1 a 7, quanto ","Da una scala da 1 a 7, quanto ","Da una scala da 1 a 7, quanto ","Da una scala da 1 a 7, quanto ","Su una scala da 1 a 7, quanto ","Da una scala da 1 a 7, quanto ","Su una scala da 1 a 7, quanto ","Da una scala da 1 a 7, quanto ","Su una scala da 1 a 7, quanto ","Da una scala da 1 a 7, ti preo","Da una scala da 1 a 7, quanto "
"Su una scala da 1 a 7, quanto ",1.0,0.715835309940256,0.2832149956856004,0.43714452033534756,0.48292874410005177,0.40784445123799035,0.27994030267351866,-0.08744574735398747,-0.04508068008477607,,,,,,,
"Su una scala da 1 a 7, quanto ",0.715835309940256,1.0,0.20616436238824365,0.31904520508359663,0.5740178593083138,0.3714684698315417,0.2946303905099793,-0.06905011663554818,-0.011662143208011086,0.44365654253372755,0.24365064739399311,0.39033692187063807,0.08178662540804758,0.10819425890756292,-0.02072875853267111,-0.03250525795446249
Da una scala da 1 a 7 quanto p,0.2832149956856004,0.20616436238824365,1.0,0.6231976548663474,0.14170672892290384,0.46431421501066467,0.1774241709678444,-0.09089352732391112,0.0025189511783374895,,,,,,,
"Da una scala da 1 a 7, quanto ",0.43714452033534756,0.31904520508359663,0.6231976548663474,1.0,0.2609612447479671,0.6288754473601864,0.3057695274979585,-0.15691705964103464,-0.08517538275127541,,,,,,,
"Su una scala da 1 a 7, quanto ",0.48292874410005177,0.5740178593083138,0.14170672892290384,0.2609612447479671,1.0,0.30708142005311767,0.2935661885540353,-0.0390385124194429,-0.058209330204019236,,,,,,,
"Da una scala da 1 a 7, quanto ",0.40784445123799035,0.3714684698315417,0.46431421501066467,0.6288754473601864,0.30708142005311767,1.0,0.49131675606063874,-0.25105330719660207,-0.12682452900715574,,,,,,,
"Da una scala da 1 a 7, quanto ",0.27994030267351866,0.2946303905099793,0.1774241709678444,0.3057695274979585,0.2935661885540353,0.49131675606063874,1.0,-0.13827009822205674,-0.21520227473354947,,,,,,,
"Da una scala da 1 a 7, quanto ",-0.08744574735398747,-0.06905011663554818,-0.09089352732391112,-0.15691705964103464,-0.0390385124194429,-0.25105330719660207,-0.13827009822205674,1.0,0.6614444193879028,,,,,,,
"Da una scala da 1 a 7, quanto ",-0.04508068008477607,-0.011662143208011086,0.0025189511783374895,-0.08517538275127541,-0.058209330204019236,-0.12682452900715574,-0.21520227473354947,0.6614444193879028,1.0,,,,,,,
"Su una scala da 1 a 7, quanto ",,0.44365654253372755,,,,,,,,1.0,0.30875157345976434,0.2513188270607911,0.18073369452809313,-0.008707060962974009,-0.08692783439085754,-0.023183026119547357
"Da una scala da 1 a 7, quanto ",,0.24365064739399311,,,,,,,,0.30875157345976434,1.0,0.08904440862718378,0.380038178795433,0.10880109390217318,-0.05818583417734299,-0.08236349644626835
"Su una scala da 1 a 7, quanto ",,0.39033692187063807,,,,,,,,0.2513188270607911,0.08904440862718378,1.0,0.3259460437072065,0.2485490221256147,-0.010587257346913828,0.033710990962064244
"Da una scala da 1 a 7, quanto ",,0.08178662540804758,,,,,,,,0.18073369452809313,0.380038178795433,0.3259460437072065,1.0,0.27505455845578103,-0.26387661090385867,-0.17498124674365825
"Su una scala da 1 a 7, quanto ",,0.10819425890756292,,,,,,,,-0.008707060962974009,0.10880109390217318,0.2485490221256147,0.27505455845578103,1.0,0.0015336264046161986,-0.004982170420802637
"Da una scala da 1 a 7, ti preo",,-0.02072875853267111,,,,,,,,-0.08692783439085754,-0.05818583417734299,-0.010587257346913828,-0.26387661090385867,0.0015336264046161986,1.0,0.5067232845159461
"Da una scala da 1 a 7, quanto ",,-0.03250525795446249,,,,,,,,-0.023183026119547357,-0.08236349644626835,0.033710990962064244,-0.17498124674365825,-0.004982170420802637,0.5067232845159461,1.0
