GruppoDettaglio,GenereCat,total,users,perc_users_of_gender
studenti - secondaria,Femmina,80,73,91.2
studenti - secondaria,Maschio,16,13,81.2
studenti - secondaria,Non risponde,0,0,
studenti - universitari,Femmina,141,104,73.8
studenti - universitari,Maschio,30,24,80.0
studenti - universitari,Non risponde,3,2,66.7
insegnanti - non in servizio,Femmina,73,33,45.2
insegnanti - non in servizio,Maschio,24,17,70.8
insegnanti - non in servizio,Non risponde,1,0,0.0
insegnanti - in servizio,Femmina,279,151,54.1
insegnanti - in servizio,Maschio,70,44,62.9
insegnanti - in servizio,Non risponde,1,1,100.0
