GruppoDettaglio,Area_norm,conteggio,totale_gruppo,perc
studenti - secondaria,Non specificato,0,96,0.0
studenti - secondaria,STEM,1,96,1.0
studenti - secondaria,Umanistiche,95,96,99.0
studenti - universitari,Non specificato,48,174,27.6
studenti - universitari,STEM,9,174,5.2
studenti - universitari,Umanistiche,117,174,67.2
insegnanti - non in servizio,Non specificato,1,99,1.0
insegnanti - non in servizio,STEM,33,99,33.3
insegnanti - non in servizio,Umanistiche,65,99,65.7
insegnanti - in servizio,Non specificato,2,358,0.6
insegnanti - in servizio,STEM,154,358,43.0
insegnanti - in servizio,Umanistiche,202,358,56.4
