GruppoDettaglio,Area_norm,total,users,perc_users_of_area
studenti - secondaria,Non specificato,0,0,
studenti - secondaria,STEM,1,1,100.0
studenti - secondaria,Umanistiche,95,85,89.5
studenti - universitari,Non specificato,48,25,52.1
studenti - universitari,STEM,9,8,88.9
studenti - universitari,Umanistiche,117,97,82.9
insegnanti - non in servizio,Non specificato,1,1,100.0
insegnanti - non in servizio,STEM,33,22,66.7
insegnanti - non in servizio,Umanistiche,65,28,43.1
insegnanti - in servizio,Non specificato,2,1,50.0
insegnanti - in servizio,STEM,154,94,61.0
insegnanti - in servizio,Umanistiche,202,108,53.5
studenti - primaria,Non specificato,0,0,
studenti - primaria,STEM,0,0,
studenti - primaria,Umanistiche,0,0,
