n,domanda,n_validi,media,mediana
1,"Su una scala da 1 a 7, quanto ti consideri competente nell’uso pratico di strumenti o tecnologie legati all’intelligenza artificiale?
(Nota: con “uso pratico” intendiamo la capacità di utilizzare concretamente strumenti, applicazioni o piattaforme di intelligenza artificiale.)

(1 Per niente - 2 Poco - 3 Moderatamente - 4 Neutrale -  5 Piuttosto - 6 Molto - 7 Estremamente)",457,3.7855579868708973,4.0
2,"Su una scala da 1 a 7, quanto ritieni adeguata la tua competenza teorica riguardo l’intelligenza artificiale?
(Nota: con “competenza teorica” si intende la conoscenza dei principi, concetti e modelli fondamentali dell’intelligenza artificiale.)",729,3.186556927297668,3.0
3,"Da una scala da 1 a 7 quanto pensi che l'intelligenza artificiale cambierà la didattica?

(1 Per niente - 2 Poco - 3 Moderatamente - 4 Neutrale -  5 Piuttosto - 6 Molto - 7 Estremamente)",457,5.463894967177243,6.0
4,"Da una scala da 1 a 7, quanto pensi che l'intelligenza artificiale cambierà la tua didattica?

(1 Per niente - 2 Poco - 3 Moderatamente - 4 Neutrale -  5 Piuttosto - 6 Molto - 7 Estremamente)",457,4.7571115973741795,5.0
5,"Su una scala da 1 a 7, quanto ritieni adeguata la formazione ricevuta in merito all’intelligenza artificiale?
(Nota: considera i corsi di formazione frequentati, le opportunità formative offerte dalla scuola e gli strumenti di apprendimento messi a disposizione.)",457,2.8818380743982495,3.0
6,"Da una scala da 1 a 7, quanto sei fiducioso nell'integrazione dell'intelligenza artificiale nella pratica educativa?
(1 Per niente fiducioso - 2 Poco fiducioso - 3 Moderatamente fiducioso - 4 Neutrale - 5 Piuttosto fiducioso - 6 Molto fiducioso - 7 Estremamente fiducioso)",457,4.168490153172867,4.0
7,"Da una scala da 1 a 7, quanto sei fiducioso nell'utilizzo da parte degli studenti di un uso responsabile e maturo dell'intelligenza artificiale?
(1 Per niente fiducioso - 2 Poco fiducioso - 3 Moderatamente fiducioso - 4 Neutrale - 5 Piuttosto fiducioso - 6 Molto fiducioso - 7 Estremamente fiducioso)",457,3.2669584245076586,3.0
8,"Da una scala da 1 a 7, quanto sei preoccupato riguardo all'utilizzo dell'intelligenza artificiale nel mondo dell'educazione?

(1 Per niente preoccupato - 2 Poco preoccupato - 3 Moderatamente preoccupato - 4 Neutrale - 5 Piuttosto preoccupato - 6 Molto preoccupato - 7 Estremamente preoccupato)",457,4.238512035010941,4.0
9,"Da una scala da 1 a 7, quanto sei preoccupato riguardo all'utilizzo dell'intelligenza artificiale da parte degli studenti?
(1 Per niente preoccupato - 2 Poco preoccupato - 3 Moderatamente preoccupato - 4 Neutrale - 5 Piuttosto preoccupato - 6 Molto preoccupato - 7 Estremamente preoccupato)",457,4.689277899343545,5.0
10,"Su una scala da 1 a 7, quanto ti consideri competente nell’uso pratico di strumenti o tecnologie legati all’intelligenza artificiale?
(Nota: con “uso pratico” intendiamo la capacità di utilizzare concretamente strumenti, applicazioni o piattaforme di intelligenza artificiale.)",272,4.323529411764706,4.0
11,"Da una scala da 1 a 7, quanto pensi che l'intelligenza artificiale cambierà il tuo modo di studiare?

(1 Per niente - 2 Poco - 3 Moderatamente - 4 Neutrale -  5 Piuttosto - 6 Molto - 7 Estremamente)",272,4.908088235294118,5.0
12,"Su una scala da 1 a 7, quanto ritieni adeguata la formazione ricevuta in merito all’intelligenza artificiale?
(Nota: considera le opportunità formative offerte dalla scuola e gli strumenti di apprendimento messi a disposizione.)",272,3.301470588235294,3.0
13,"Da una scala da 1 a 7, quanto sei fiducioso nell'integrazione dell'intelligenza artificiale nella scuola o università?
(1 Per niente fiducioso - 2 Poco fiducioso - 3 Moderatamente fiducioso - 4 Neutrale - 5 Piuttosto fiducioso - 6 Molto fiducioso - 7 Estremamente fiducioso)",272,4.474264705882353,5.0
14,"Su una scala da 1 a 7, quanto ritieni che i tuoi attuali insegnanti siano preparati e competenti nell'insegnare l'uso dell'intelligenza artificiale?
(1 Per niente - 2 Poco - 3 Moderatamente - 4 Neutrale - 5 Abbastanza - 6 Molto - 7 Estremamente)",272,3.5,3.0
15,"Da una scala da 1 a 7, ti preoccupa l'inserimento dell'intelligenza artificiale nella scuola o nell'università?

(1 Per niente preoccupato - 2 Poco preoccupato - 3 Moderatamente preoccupato - 4 Neutrale - 5 Piuttosto preoccupato - 6 Molto preoccupato - 7 Estremamente preoccupato)",272,3.3051470588235294,3.0
16,"Da una scala da 1 a 7, quanto sei preoccupato riguardo all'utilizzo dell'intelligenza artificiale da parte dei tuoi compagni di scuola o universitarì?
(1 Per niente preoccupato - 2 Poco preoccupato - 3 Moderatamente preoccupato - 4 Neutrale - 5 Piuttosto preoccupato - 6 Molto preoccupato - 7 Estremamente preoccupato)",272,3.3125,3.0
