GruppoDettaglio,OreSettimanali
insegnanti - in servizio,8.0
insegnanti - non in servizio,2.0
insegnanti - in servizio,0.0
insegnanti - in servizio,0.0
insegnanti - in servizio,0.0
insegnanti - in servizio,0.0
insegnanti - in servizio,4.0
insegnanti - in servizio,1.0
insegnanti - in servizio,1.0
insegnanti - in servizio,0.0
insegnanti - in servizio,1.0
insegnanti - in servizio,1.0
insegnanti - in servizio,1.0
insegnanti - in servizio,2.0
insegnanti - non in servizio,45.0
insegnanti - in servizio,3.0
insegnanti - in servizio,0.0
insegnanti - in servizio,0.0
insegnanti - in servizio,0.0
insegnanti - in servizio,8.0
insegnanti - non in servizio,0.0
insegnanti - non in servizio,0.0
insegnanti - non in servizio,0.0
insegnanti - non in servizio,4.0
insegnanti - in servizio,3.0
insegnanti - non in servizio,0.0
insegnanti - non in servizio,0.0
insegnanti - non in servizio,7.0
insegnanti - in servizio,4.0
insegnanti - non in servizio,0.0
insegnanti - non in servizio,0.0
insegnanti - in servizio,0.0
insegnanti - non in servizio,0.0
insegnanti - in servizio,0.0
insegnanti - in servizio,0.0
insegnanti - non in servizio,0.0
insegnanti - non in servizio,0.0
insegnanti - in servizio,7.0
insegnanti - non in servizio,2.0
insegnanti - non in servizio,2.0
insegnanti - non in servizio,0.0
insegnanti - in servizio,0.0
insegnanti - in servizio,0.0
insegnanti - non in servizio,1.0
insegnanti - non in servizio,2.0
insegnanti - in servizio,0.0
insegnanti - in servizio,2.0
insegnanti - non in servizio,0.0
insegnanti - in servizio,6.0
insegnanti - in servizio,2.0
insegnanti - in servizio,3.0
insegnanti - in servizio,0.0
insegnanti - non in servizio,0.0
insegnanti - non in servizio,0.0
insegnanti - non in servizio,4.0
insegnanti - non in servizio,0.0
insegnanti - non in servizio,0.0
insegnanti - in servizio,0.0
insegnanti - non in servizio,0.0
insegnanti - non in servizio,1.0
insegnanti - non in servizio,2.0
insegnanti - in servizio,0.0
insegnanti - in servizio,3.0
insegnanti - non in servizio,1.0
insegnanti - non in servizio,0.0
insegnanti - in servizio,1.0
insegnanti - in servizio,2.0
insegnanti - non in servizio,4.0
insegnanti - non in servizio,1.0
insegnanti - non in servizio,0.0
insegnanti - in servizio,5.0
insegnanti - in servizio,0.0
insegnanti - in servizio,6.0
insegnanti - in servizio,5.0
insegnanti - non in servizio,0.0
insegnanti - in servizio,2.0
insegnanti - in servizio,0.0
insegnanti - in servizio,0.0
insegnanti - in servizio,0.0
insegnanti - in servizio,0.0
insegnanti - in servizio,0.0
insegnanti - in servizio,0.0
insegnanti - in servizio,6.0
insegnanti - non in servizio,10.0
insegnanti - in servizio,0.0
insegnanti - non in servizio,6.0
insegnanti - non in servizio,3.0
insegnanti - non in servizio,2.0
insegnanti - in servizio,2.0
insegnanti - non in servizio,6.0
insegnanti - non in servizio,2.0
insegnanti - non in servizio,1.0
insegnanti - non in servizio,0.0
insegnanti - non in servizio,1.0
insegnanti - in servizio,0.0
insegnanti - non in servizio,0.0
insegnanti - non in servizio,0.0
insegnanti - non in servizio,4.0
insegnanti - non in servizio,2.0
insegnanti - non in servizio,0.0
insegnanti - non in servizio,0.0
insegnanti - non in servizio,2.0
insegnanti - non in servizio,3.0
insegnanti - non in servizio,0.0
insegnanti - non in servizio,0.0
insegnanti - non in servizio,0.0
insegnanti - in servizio,0.0
insegnanti - in servizio,1.0
insegnanti - non in servizio,7.0
insegnanti - non in servizio,2.0
insegnanti - in servizio,1.0
insegnanti - non in servizio,2.0
insegnanti - non in servizio,0.0
insegnanti - non in servizio,2.0
insegnanti - non in servizio,0.0
insegnanti - in servizio,0.0
insegnanti - non in servizio,0.0
insegnanti - in servizio,0.0
insegnanti - in servizio,2.0
insegnanti - in servizio,0.0
insegnanti - non in servizio,0.0
insegnanti - in servizio,4.0
insegnanti - non in servizio,1.0
