GruppoDettaglio,AreaSourceRaw,AreaSourceRaw_norm
insegnanti - in servizio,A-60 Tecnologia nella scuola secondaria di I grado,a-60 tecnologia nella scuola secondaria di i grado
insegnanti - in servizio,SOSTEGNO,sostegno
insegnanti - in servizio,Infanzia ,infanzia
insegnanti - in servizio,A-60 Tecnologia nella scuola secondaria di I grado,a-60 tecnologia nella scuola secondaria di i grado
insegnanti - in servizio,EEEE,eeee
insegnanti - in servizio,sostegno,sostegno
insegnanti - in servizio,Formazione primaria ,formazione primaria
insegnanti - in servizio,Sostegno infanzia ADAA,sostegno infanzia adaa
insegnanti - non in servizio,ADSS,adss
insegnanti - in servizio,A-15 Discipline sanitarie,a-15 discipline sanitarie
insegnanti - non in servizio,LM-14 Italianistica ,lm-14 italianistica
insegnanti - in servizio,A-60 Tecnologia nella scuola secondaria di I grado,a-60 tecnologia nella scuola secondaria di i grado
insegnanti - non in servizio,B15,b15
insegnanti - in servizio,Diploma di maturità magistrale ,diploma di maturita magistrale
insegnanti - non in servizio,A18,a18
insegnanti - non in servizio,ITP,itp
insegnanti - non in servizio,Cucina,cucina
insegnanti - in servizio,B017 ,b017
insegnanti - non in servizio,B020,b020
insegnanti - non in servizio,B023,b023
insegnanti - in servizio,B19,b19
insegnanti - in servizio,Scuola infanzia ,scuola infanzia
insegnanti - in servizio,Scuola primaria,scuola primaria
insegnanti - in servizio,Sostegno,sostegno
insegnanti - in servizio,AA,aa
insegnanti - in servizio,scuola infanzia,scuola infanzia
insegnanti - in servizio,sostegno scuola primaria,sostegno scuola primaria
insegnanti - in servizio,insegnante scuola primaria,insegnante scuola primaria
insegnanti - in servizio,Infanzia AAAA,infanzia aaaa
insegnanti - in servizio,infanzia AAAA,infanzia aaaa
insegnanti - in servizio,scuola primaria,scuola primaria
insegnanti - in servizio,sostegno,sostegno
insegnanti - in servizio,scuola primaria,scuola primaria
insegnanti - in servizio,Tutte le attività presenti nella scuola dell'infanzia,tutte le attivita presenti nella scuola dell'infanzia
insegnanti - in servizio,EEE,eee
insegnanti - in servizio,SCUOLA INFANZIA SI INSEGNA IN MANIERA TRASVERSALE TOCCANDO TUTTI I CAMPI DI ESPERIENZA,scuola infanzia si insegna in maniera trasversale toccando tutti i campi di esperienza
insegnanti - in servizio,Scuola Primaria,scuola primaria
insegnanti - in servizio,sostegno didattico,sostegno didattico
insegnanti - in servizio,SOSTEGNO,sostegno
insegnanti - in servizio,sostegno,sostegno
insegnanti - in servizio, i 5 campi di esperienza,i 5 campi di esperienza
insegnanti - in servizio,adee,adee
insegnanti - in servizio,Infanzia,infanzia
insegnanti - in servizio,scuola primaria,scuola primaria
insegnanti - in servizio,Campi di esperienza scuola dell'infanzia,campi di esperienza scuola dell'infanzia
insegnanti - in servizio,SOSTEGNO SECONDARIA I GRADO,sostegno secondaria i grado
insegnanti - in servizio,Sostegno ,sostegno
insegnanti - in servizio,scuola dell'infanzia,scuola dell'infanzia
insegnanti - in servizio,sostegno scuola primaria,sostegno scuola primaria
insegnanti - in servizio,Scuola infanzia,scuola infanzia
insegnanti - in servizio,Scuola Primaria,scuola primaria
insegnanti - in servizio,Scuola Primaria,scuola primaria
insegnanti - in servizio,Scuola infanzia,scuola infanzia
insegnanti - in servizio,ADMM,admm
insegnanti - in servizio,Scuola infanzia,scuola infanzia
insegnanti - in servizio,A-10 Discipline grafico pubblicitarie,a-10 discipline grafico pubblicitarie
insegnanti - in servizio,scuola primaria,scuola primaria
insegnanti - in servizio,insegnante di sostegno di scuola (insegno tutte le discipline),insegnante di sostegno di scuola (insegno tutte le discipline)
insegnanti - in servizio,ADMM,admm
insegnanti - in servizio,Scuola infanzia,scuola infanzia
insegnanti - in servizio,Sostegno,sostegno
insegnanti - in servizio,Scuola infanzia,scuola infanzia
insegnanti - in servizio,Scuola infanzia,scuola infanzia
insegnanti - in servizio,EEEE,eeee
insegnanti - in servizio,"A-15 Discipline sanitarie, B023 Laboratorio Servizi Socio sanitari","a-15 discipline sanitarie, b023 laboratorio servizi socio sanitari"
insegnanti - in servizio,Scuola infanzia,scuola infanzia
insegnanti - in servizio,sostegno,sostegno
insegnanti - in servizio,Scuola primaria,scuola primaria
insegnanti - in servizio,A012,a012
insegnanti - in servizio,A-60 Tecnologia nella scuola secondaria di I grado,a-60 tecnologia nella scuola secondaria di i grado
insegnanti - in servizio,SCUOLA PRIMARIA,scuola primaria
insegnanti - in servizio,Scuola Primaria,scuola primaria
insegnanti - in servizio,Sostegno SSPG,sostegno sspg
insegnanti - in servizio,docente prevalente scuola primaria,docente prevalente scuola primaria
insegnanti - in servizio,Scuola Primaria,scuola primaria
insegnanti - in servizio,Sostegno,sostegno
insegnanti - in servizio,SOSOTEGNO SCUOLA PRIMARIA,sosotegno scuola primaria
insegnanti - in servizio,Scuola primaria ,scuola primaria
insegnanti - in servizio,Scuola Primaria,scuola primaria
insegnanti - in servizio,ADSS,adss
insegnanti - in servizio,Scuola infanzia,scuola infanzia
insegnanti - in servizio,Scuola primaria,scuola primaria
insegnanti - in servizio,Scuola infanzia,scuola infanzia
insegnanti - in servizio,Scuola primaria,scuola primaria
insegnanti - in servizio,Scuola primaria,scuola primaria
insegnanti - in servizio,sostegno scuola primaria,sostegno scuola primaria
insegnanti - in servizio,Scuola infanzia,scuola infanzia
insegnanti - in servizio,Scuola infanzia,scuola infanzia
insegnanti - in servizio,Scuola infanzia,scuola infanzia
insegnanti - in servizio,Scuola infanzia,scuola infanzia
insegnanti - in servizio,Scuola infanzia,scuola infanzia
insegnanti - in servizio,"A-60 Tecnologia nella scuola secondaria di I grado, admm","a-60 tecnologia nella scuola secondaria di i grado, admm"
insegnanti - in servizio,scuola primaria,scuola primaria
insegnanti - in servizio,Scuola primaria,scuola primaria
insegnanti - in servizio,ADSS,adss
insegnanti - in servizio,adss,adss
insegnanti - in servizio,sostegno,sostegno
insegnanti - non in servizio,M-EDF/01 METODI E DIDATTICHE DELLE ATTIVITÀ MOTORIE M-EDF/01 Methods and teaching of motor activities,m-edf/01 metodi e didattiche delle attivita motorie m-edf/01 methods and teaching of motor activities
insegnanti - non in servizio,B012,b012
insegnanti - non in servizio,A-60 Tecnologia nella scuola secondaria di I grado,a-60 tecnologia nella scuola secondaria di i grado
insegnanti - non in servizio,A-60 Tecnologia nella scuola secondaria di I grado,a-60 tecnologia nella scuola secondaria di i grado
insegnanti - in servizio,Scuola primaria eeem,scuola primaria eeem
insegnanti - in servizio,B012,b012
insegnanti - non in servizio,A-60 Tecnologia nella scuola secondaria di I grado,a-60 tecnologia nella scuola secondaria di i grado
insegnanti - in servizio,ADMM Sostegno ,admm sostegno
insegnanti - in servizio,B012,b012
insegnanti - in servizio,SCUOLA PRIMARIA,scuola primaria
insegnanti - in servizio,B012,b012
insegnanti - in servizio,B012,b012
insegnanti - in servizio,B012,b012
insegnanti - in servizio,A-60 Tecnologia nella scuola secondaria di I grado,a-60 tecnologia nella scuola secondaria di i grado
insegnanti - in servizio,A-60 Tecnologia nella scuola secondaria di I grado,a-60 tecnologia nella scuola secondaria di i grado
insegnanti - in servizio,B012,b012
insegnanti - in servizio,B012 ,b012
insegnanti - in servizio,A-60 Tecnologia nella scuola secondaria di I grado,a-60 tecnologia nella scuola secondaria di i grado
insegnanti - in servizio,B-12,b-12
insegnanti - in servizio,B012,b012
