GruppoDettaglio,Eta
insegnanti - in servizio,58.0
insegnanti - non in servizio,33.0
insegnanti - in servizio,56.0
insegnanti - in servizio,48.0
insegnanti - in servizio,54.0
insegnanti - in servizio,53.0
insegnanti - in servizio,43.0
insegnanti - in servizio,25.0
insegnanti - in servizio,38.0
insegnanti - in servizio,31.0
insegnanti - in servizio,30.0
insegnanti - in servizio,47.0
insegnanti - in servizio,61.0
insegnanti - in servizio,43.0
insegnanti - non in servizio,29.0
insegnanti - in servizio,27.0
insegnanti - in servizio,51.0
insegnanti - in servizio,50.0
insegnanti - in servizio,41.0
insegnanti - in servizio,41.0
insegnanti - non in servizio,36.0
insegnanti - non in servizio,51.0
insegnanti - non in servizio,32.0
insegnanti - non in servizio,39.0
insegnanti - in servizio,31.0
insegnanti - non in servizio,35.0
insegnanti - non in servizio,47.0
insegnanti - non in servizio,40.0
insegnanti - in servizio,26.0
insegnanti - non in servizio,27.0
insegnanti - non in servizio,27.0
insegnanti - in servizio,47.0
insegnanti - non in servizio,38.0
insegnanti - in servizio,41.0
insegnanti - in servizio,31.0
insegnanti - non in servizio,39.0
insegnanti - non in servizio,49.0
insegnanti - in servizio,37.0
insegnanti - non in servizio,37.0
insegnanti - non in servizio,40.0
insegnanti - non in servizio,26.0
insegnanti - in servizio,40.0
insegnanti - in servizio,32.0
insegnanti - non in servizio,43.0
insegnanti - non in servizio,29.0
insegnanti - in servizio,43.0
insegnanti - in servizio,31.0
insegnanti - non in servizio,47.0
insegnanti - in servizio,39.0
insegnanti - in servizio,39.0
insegnanti - in servizio,42.0
insegnanti - in servizio,49.0
insegnanti - non in servizio,35.0
insegnanti - non in servizio,27.0
insegnanti - non in servizio,48.0
insegnanti - non in servizio,30.0
insegnanti - non in servizio,37.0
insegnanti - in servizio,49.0
insegnanti - non in servizio,47.0
insegnanti - non in servizio,55.0
insegnanti - non in servizio,41.0
insegnanti - in servizio,55.0
insegnanti - in servizio,50.0
insegnanti - non in servizio,22.0
insegnanti - non in servizio,40.0
insegnanti - in servizio,29.0
insegnanti - in servizio,26.0
insegnanti - non in servizio,30.0
insegnanti - non in servizio,34.0
insegnanti - non in servizio,48.0
insegnanti - in servizio,50.0
insegnanti - in servizio,46.0
insegnanti - in servizio,53.0
insegnanti - in servizio,49.0
insegnanti - non in servizio,30.0
insegnanti - in servizio,46.0
insegnanti - in servizio,50.0
insegnanti - in servizio,50.0
insegnanti - in servizio,45.0
insegnanti - in servizio,56.0
insegnanti - in servizio,45.0
insegnanti - in servizio,55.0
insegnanti - in servizio,45.0
insegnanti - non in servizio,28.0
insegnanti - in servizio,30.0
insegnanti - non in servizio,32.0
insegnanti - non in servizio,39.0
insegnanti - non in servizio,39.0
insegnanti - in servizio,34.0
insegnanti - non in servizio,24.0
insegnanti - non in servizio,29.0
insegnanti - non in servizio,56.0
insegnanti - non in servizio,32.0
insegnanti - non in servizio,50.0
insegnanti - in servizio,35.0
insegnanti - non in servizio,55.0
insegnanti - non in servizio,31.0
insegnanti - non in servizio,48.0
insegnanti - non in servizio,31.0
insegnanti - non in servizio,32.0
insegnanti - non in servizio,46.0
insegnanti - non in servizio,51.0
insegnanti - non in servizio,38.0
insegnanti - non in servizio,48.0
insegnanti - non in servizio,40.0
insegnanti - non in servizio,39.0
insegnanti - in servizio,35.0
insegnanti - in servizio,28.0
insegnanti - non in servizio,46.0
insegnanti - non in servizio,31.0
insegnanti - in servizio,57.0
insegnanti - non in servizio,43.0
insegnanti - non in servizio,32.0
insegnanti - non in servizio,33.0
insegnanti - non in servizio,33.0
insegnanti - in servizio,54.0
insegnanti - non in servizio,56.0
insegnanti - in servizio,29.0
insegnanti - in servizio,41.0
insegnanti - in servizio,42.0
insegnanti - non in servizio,33.0
insegnanti - in servizio,40.0
insegnanti - non in servizio,47.0
insegnanti - non in servizio,45.0
insegnanti - in servizio,60.0
insegnanti - in servizio,35.0
insegnanti - in servizio,53.0
insegnanti - in servizio,52.0
insegnanti - in servizio,52.0
insegnanti - in servizio,55.0
insegnanti - in servizio,32.0
insegnanti - in servizio,66.0
insegnanti - in servizio,61.0
insegnanti - in servizio,63.0
insegnanti - in servizio,39.0
insegnanti - in servizio,47.0
insegnanti - in servizio,60.0
insegnanti - in servizio,48.0
insegnanti - in servizio,44.0
insegnanti - in servizio,47.0
insegnanti - in servizio,42.0
insegnanti - in servizio,50.0
insegnanti - in servizio,57.0
insegnanti - in servizio,57.0
insegnanti - in servizio,66.0
insegnanti - in servizio,59.0
insegnanti - in servizio,65.0
insegnanti - in servizio,55.0
insegnanti - in servizio,35.0
insegnanti - in servizio,35.0
insegnanti - in servizio,31.0
insegnanti - in servizio,42.0
insegnanti - in servizio,62.0
insegnanti - in servizio,59.0
insegnanti - in servizio,57.0
insegnanti - in servizio,57.0
insegnanti - in servizio,63.0
insegnanti - in servizio,46.0
insegnanti - in servizio,49.0
insegnanti - in servizio,39.0
insegnanti - in servizio,46.0
insegnanti - in servizio,55.0
insegnanti - in servizio,51.0
insegnanti - in servizio,66.0
insegnanti - in servizio,45.0
insegnanti - in servizio,65.0
insegnanti - in servizio,61.0
insegnanti - in servizio,50.0
insegnanti - in servizio,56.0
insegnanti - in servizio,47.0
insegnanti - in servizio,55.0
insegnanti - in servizio,55.0
insegnanti - in servizio,40.0
insegnanti - in servizio,58.0
insegnanti - in servizio,42.0
insegnanti - in servizio,53.0
insegnanti - in servizio,47.0
insegnanti - in servizio,42.0
insegnanti - in servizio,62.0
insegnanti - in servizio,45.0
insegnanti - in servizio,53.0
insegnanti - in servizio,39.0
insegnanti - in servizio,50.0
insegnanti - in servizio,43.0
insegnanti - in servizio,60.0
insegnanti - in servizio,47.0
insegnanti - in servizio,62.0
insegnanti - in servizio,58.0
insegnanti - in servizio,62.0
insegnanti - in servizio,50.0
insegnanti - in servizio,49.0
insegnanti - in servizio,41.0
insegnanti - in servizio,53.0
insegnanti - in servizio,44.0
insegnanti - in servizio,54.0
insegnanti - in servizio,50.0
insegnanti - in servizio,62.0
insegnanti - in servizio,46.0
insegnanti - in servizio,35.0
insegnanti - in servizio,44.0
insegnanti - in servizio,49.0
insegnanti - in servizio,59.0
insegnanti - in servizio,50.0
insegnanti - in servizio,51.0
insegnanti - in servizio,58.0
insegnanti - in servizio,46.0
insegnanti - in servizio,57.0
insegnanti - in servizio,42.0
insegnanti - in servizio,56.0
insegnanti - in servizio,33.0
insegnanti - in servizio,43.0
insegnanti - in servizio,45.0
insegnanti - in servizio,47.0
insegnanti - in servizio,61.0
insegnanti - in servizio,59.0
insegnanti - in servizio,58.0
insegnanti - in servizio,34.0
insegnanti - in servizio,57.0
insegnanti - in servizio,44.0
insegnanti - in servizio,57.0
insegnanti - in servizio,39.0
insegnanti - in servizio,49.0
insegnanti - in servizio,59.0
insegnanti - in servizio,53.0
insegnanti - in servizio,64.0
insegnanti - in servizio,44.0
insegnanti - in servizio,40.0
insegnanti - in servizio,65.0
insegnanti - in servizio,60.0
insegnanti - in servizio,53.0
insegnanti - in servizio,42.0
insegnanti - in servizio,29.0
insegnanti - in servizio,45.0
insegnanti - in servizio,49.0
insegnanti - in servizio,50.0
insegnanti - in servizio,31.0
insegnanti - in servizio,36.0
insegnanti - in servizio,42.0
insegnanti - in servizio,49.0
insegnanti - in servizio,49.0
insegnanti - in servizio,47.0
insegnanti - in servizio,47.0
insegnanti - in servizio,53.0
insegnanti - in servizio,44.0
insegnanti - in servizio,44.0
insegnanti - in servizio,39.0
insegnanti - in servizio,61.0
insegnanti - in servizio,48.0
insegnanti - in servizio,60.0
insegnanti - in servizio,44.0
insegnanti - in servizio,52.0
insegnanti - in servizio,49.0
insegnanti - in servizio,44.0
insegnanti - in servizio,48.0
insegnanti - in servizio,53.0
insegnanti - in servizio,39.0
insegnanti - in servizio,50.0
insegnanti - in servizio,45.0
insegnanti - in servizio,55.0
insegnanti - in servizio,40.0
insegnanti - in servizio,37.0
insegnanti - in servizio,31.0
insegnanti - in servizio,59.0
insegnanti - in servizio,42.0
insegnanti - in servizio,49.0
insegnanti - in servizio,57.0
insegnanti - in servizio,42.0
insegnanti - in servizio,55.0
insegnanti - in servizio,53.0
insegnanti - in servizio,49.0
insegnanti - in servizio,42.0
insegnanti - in servizio,43.0
insegnanti - in servizio,55.0
insegnanti - in servizio,52.0
insegnanti - in servizio,43.0
insegnanti - in servizio,41.0
insegnanti - in servizio,50.0
insegnanti - in servizio,50.0
insegnanti - in servizio,48.0
insegnanti - in servizio,58.0
insegnanti - in servizio,48.0
insegnanti - in servizio,37.0
insegnanti - in servizio,57.0
insegnanti - in servizio,50.0
insegnanti - in servizio,66.0
insegnanti - in servizio,51.0
insegnanti - in servizio,43.0
insegnanti - in servizio,41.0
insegnanti - in servizio,64.0
insegnanti - in servizio,20.0
insegnanti - in servizio,49.0
insegnanti - in servizio,43.0
insegnanti - in servizio,50.0
insegnanti - in servizio,51.0
insegnanti - in servizio,44.0
insegnanti - in servizio,50.0
insegnanti - in servizio,63.0
insegnanti - in servizio,49.0
insegnanti - in servizio,41.0
insegnanti - in servizio,53.0
insegnanti - in servizio,52.0
insegnanti - in servizio,52.0
insegnanti - in servizio,50.0
insegnanti - in servizio,36.0
insegnanti - in servizio,52.0
insegnanti - in servizio,56.0
insegnanti - in servizio,48.0
insegnanti - in servizio,49.0
insegnanti - in servizio,45.0
insegnanti - in servizio,43.0
insegnanti - in servizio,43.0
insegnanti - in servizio,46.0
insegnanti - in servizio,52.0
insegnanti - in servizio,39.0
insegnanti - in servizio,53.0
insegnanti - in servizio,41.0
insegnanti - in servizio,64.0
insegnanti - in servizio,60.0
insegnanti - in servizio,28.0
insegnanti - in servizio,56.0
insegnanti - in servizio,50.0
insegnanti - in servizio,30.0
insegnanti - in servizio,36.0
insegnanti - in servizio,42.0
insegnanti - in servizio,42.0
insegnanti - in servizio,53.0
insegnanti - in servizio,43.0
insegnanti - in servizio,45.0
insegnanti - in servizio,56.0
